Company Name,Stand Info,Country,Description,Skills
01Talent Africa,"Stand No - 14A-16, Hall No - Hall 14",Portugal,"01Talent Africa is both a Talent factory and a Talent Growth agency that aims to identify, train, and deploy 500,000 high-level AI-ready developers into the professional world by 2035. By integrating a proven educational model with a sustainable economic model, we’re creating an African-based world-class digital outsourcing business, serving the needs of Africa’s digital transformation. 01Talent Africa uses the 01Edu system, a peer-to-peer, gamified, and project-based learning platform designed to address the global IT developer shortage. This highly effective pedagogy has been deployed by our co-founder, Nicolas Sadirac, in 40+ countries for over 100,000 digital talent. 01Talent Africa deploys either white-label coding school campuses or its own ""Zone01'' centers of collective intelligence, partnering with local ecosystems to generate employment and upward social mobility opportunities for talent from diversified backgrounds.","Gaming, Education Tech, Cyber security, Coding and Development, Blockchain, Gaming, Artificial Intelligence, Operating Systems Development, Cloud Security, Artificial Intelligence & IOT, Collaborative learning and technology, Game Based Learning Programs & Simulations, HR systems and services, Learning Improvement Tech & Devices, Talent and human capital management, Training centre resources, Cloud Gaming, Game Design / Creation, Gaming Services, Mobile Gaming, PC Gaming, Production"
212 Founders by CDG Invest,"Stand No - 9A-10, Hall No - Hall 9",Morocco,"212 Founders is an acceleration and investment program for startups with international potential and links to Morocco, Africa and the Middle East. 212 Founders’ ambition is to exercise a structuring impact on the entrepreneurial ecosystem in Morocco by attracting and supporting talent towards entrepreneurship. We invest in champions in ordrer to turn them into global startups","Digital Finance, Incubator/Accelerator/Investment, Fund Raising and Investment"
3GCOM SARL,"Stand No - 12C-61, Hall No - Hall 12",Morocco,One of the leading global system integrator for IT & Telecom solutions in North Africa. We provide our customers with innovative end to end solutions and services across all major industries and collaborate with industry leading that ensures us the best assistance and respecting high standards of quality and technical skills.,No categories available
3labal.App,"Stand No - 9D-23, Hall No - Hall 9",Morocco,"Since its creation in 2010, Khatwa Partners has supported several national programs intended for the structuring and modernization of small businesses. Over the years, KHATWA PARTNERS has developed expertise in the territorial deployment of national programs, and has also contributed to the creation of impact in the territories where it has been able to intervene. KHATWA PARTNERS has also developed a 3LABAL solution which is a mobile application intended for businesses and entrepreneurs to help them overcome the difficulties linked to the administrative, fiscal and social management of this population.",Incubator/Accelerator/Investment
3N Systèmes,"Stand No - 2D-12, Hall No - Hall 2",Morocco,"IT Integrator: sale and maintenance of computer and network equipment (servers, storage, PC, printers, etc.) from the largest manufacturers (DELL, HP, Lenovo, Hitachi, Huawei, Cisco,Epson etc.), implementation of various solutions: remote monitoring (Milestone), global backup and legal archiving (Commvault), cybersecurity (Check Point, Sophos, Kaspersky...), databases (Oracle), artificial intelligence (UiPath)...","Cyber security, Cloud Services, Big Data & Analytics, Artificial Intelligence, 5G & Telecommunications, Data Centres, Chatbots / Virtual Assistant, Robotic Process Automation, Business Intelligence, Robotic Process Automation - RPA, Migration, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Application integration and infrastructure"
42Gears Mobility Systems,"Stand No - 1A-12, Hall No - Hall 1",India,"42Gears is a leader in enterprise mobility management, offering cutting-edge solutions designed to transform the digital workplace. Delivered from the cloud and on-premise, 42Gears products support all major mobile and desktop operating systems, enabling IT and DevOps teams to improve frontline workforce productivity as well as the efficiency of software development teams. 42Gears products are used by over 18000 customers across various industries in more than 115 countries and are available for purchase through a global partner network. For more information, visit https://www.42gears.com",No categories available
75way Technologies Private Limited,"Stand No - 2D-22, Hall No - Hall 2",India,"75way- Where Imagination Turns to Innovation We cater to a wide spectrum of projects and meet the business requirement with highly intriguing Web 3.0/Blockchain, Web, IOT and Mobile apps development solutions. At 75way, we ensure work quality, build a long-term relationship with clients and add more people to our list of happy customers. This has always been our main goal. In order to achieve this goal, we have managed to provide high-end web, mobile apps, software, and other digital solution development services. We build products using the latest technologies that also leave an impression on the user and keep up their interests. Being on the market since 2015, we have gained trust and respect from our clients by providing them unmatchable support and an incredible user experience focused on quality and performance. So, if you’re on the hunt for the ideal place to empower your web identity, 75way is the right name.","Software Services, HealthTech, Ecommerce, Coding and Development, Blockchain, Smart Contracts, Web3 Applications, Backend Development, Blockchain, Devops, NFTs, Python, Web Development, eCommerce Software, eLogistics, Supply Chain Solutions, Web App, Design and Development, Web3 Applications, Healthcare IT, CRM (Customer Relationship Management) Software, Mobile Applications"
Aarya SoftEx LLP,"Stand No - 8L-04, Hall No - Hall 8",India,"AARYA SOFTEX mission is to empower businesses with cutting-edge technology solutions, leveraging the power of AI and innovation to drive efficiency, growth, and positive impact, we are committed to delivering innovative, reliable, and cost-effective solutions that exceed our clients’ expectations. AARYA SOFTEX vision is to be the preferred partner for businesses seeking transformative IT services. We aim to lead the industry through continuous innovation, exceptional customer satisfaction, and a relentless pursuit of excellence in every aspect of our offerings, pioneering AI-driven solutions that transform industries, enhance user experiences, and create a more connected and sustainable world. 1. Web Designing and Development 2. Website Redesign and Maintenance 3. Blockchain 4. Trading Platform 5. Custom Application 6. Agri Tech Solutions 7. Custom ERP Solutions Programming Languages (.Net, Core PHP, Laravel, LAMP, Java, etc.) 9. Digital Banking Solutions. 10. Phone Banking Solutions","Software Services, Ecommerce, Coding and Development, Blockchain, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Machine Learning, Planning and Optimization, Real time translation, Speech Recognition, Artificial Intelligence, Blockchain as a Service (BaaS), Cloud / IoT / Smart Cities, Crypto Exchanges, Crypto Trading / Investment, Cryptocurrency/ ICOs/ STOs / Tokens, Developer Tools / Platforms, Digital Collectibles / NFTs, Enterprise Software / Operating Systems, Gaming, Identity / Trust / Authentication, Infrastructure and  Development, Interoperability / System Integration, Loyalty, Payments / Wallets / Exchange Gateways, Research & Development, Security / Cybersecurity, Smart Contracts, Intelligent Supply Chain, Telecoms & Mobility, Training / Recruitment, Web3 Applications, Backend Development, Blockchain, Cloud Computing, Cloud Kubernetes, Compilers, Data Sciences, Devops, Embedded System Development, Enterprise Applications, Frontend Development, Java, Machine Learning, NFTs, Operating Systems Development, Python, Video Game Development, Web Development, eCommerce Software, eLogistics, ERP / Business Management, Platforms, Risk & Fraud Management, Security / Cybersecurity, Smart Contracts, Supply Chain Solutions, Telecoms & Mobility, Training / Recruitment, Web App, Design and Development, Web3 Applications, Application integration and infrastructure, Business Intelligence Solutions, Business Process Management, CRM (Customer Relationship Management) Software, Data Analytics & Automation, Digital Imaging, ERP (Enterprise Resource Planning) Software, Finance & Accounting Software, HR Tech, Mobile Applications, Mobility Enterprise Solutions, Procurement Software, VOIP Solutions"
ABA Technology,"Stand No - 13D-10, 14D-60, Hall No - Hall 13",Morocco,"Leading the charge with groundbreaking innovations, Aba Technology transform multiple sectors across the continent. From the development of smart cities to the deployment of connected medical units, their mission is to empower progress and shape the future of Africa. Our mission is to preserve health, environment, industrial Sovereignty and security through the fusion of technologies and the implementation of high-value-added services contributing to growth and inclusive development.","Internet of Things (IOT), Artificial Intelligence, Computer Vision, AI-optimized Hardware, Artificial Intelligence, Industrial IoT (IIoT) & Connectivity, IoT Solutions, Sensors, Smart lighting"
Abbott,"Stand No - 16D-50, Hall No - Hall 16",United States of America,"The key to recovery is often a fast, accurate diagnosis, perhaps today more than ever. There have been many new demands placed on laboratories, but there are also new opportunities to help solve some of healthcare’s toughest challenges. Our end-to-end diagnostics solutions including our innovative Alinity family of systems, total laboratory automation and AlinIQ informatics, are used in hospitals and laboratories around the globe. The crucial information from our tests is often the first step in patient care decision making for hundreds of health conditions from heart attacks to blood disorders to infectious disease concerns. Discover how we can collaborate to help you achieve measurably better healthcare performance with our personalized solutions.","HealthTech, Consumer Tech, Smart Home & Smart Workplace, Coding and Development, Cloud Services, Big Data & Analytics, Applications, Artificial Intelligence, Business Intelligence, Cloud Solutions, Dashboard, Data Analytics, Data Integration, Data Management, Data Mining, Data Visualisation, Digital Transformation, Machine Learning, Operational Intelligence, Real-Time Analytics, Structured Data, Visual Analytics, Analytics, Applications including Development, Deployment & Design, Big Data & Analytics, Consultancy, Content Delivery & Management, Professional Services, Total Solution Provider, Value Added Distributor - VAD or Value Added Reseller - VAR, Workload Management, Artificial Intelligence, Backend Development, Frontend Development, Machine Learning, Operating Systems Development, Web Development, Healthcare Electronics, Telecommunication, Community Health Services, Government, Healthcare Consultancy Service, Healthcare IT, Laboratory Facilities, Laboratory Technology, Medical Facilities"
