Company,Stand Info,Country,Description,Keywords,combined_text,competitor
01TALENT AFRICA,"Stand No- 14A-16, Hall 14",Portugal,"01Talent Africa is both a Talent factory and a Talent Growth agency that aims to identify, train, and deploy 500,000 high-level AI-ready developers into the professional world by 2035. By integrating a proven educational model wit ...","Gaming, Education Tech, Cyber security, Coding and Development, Blockchain, Gaming, Artificial Intelligence, Operating Systems Development, Cloud Security, Artificial Intelligence & IOT","01TALENT AFRICA Gaming, Education Tech, Cyber security, Coding and Development, Blockchain, Gaming, Artificial Intelligence, Operating Systems Development, Cloud Security, Artificial Intelligence & IOT 01Talent Africa is both a Talent factory and a Talent Growth agency that aims to identify  train  and deploy 500 000 high-level AI-ready developers into the professional world by 2035. By integrating a proven educational model wit ...",8
212 FOUNDERS BY CDG INVEST,"Stand No- 9A-10, Hall 9",Morocco,"212 Founders is an acceleration and investment program for startups with international potential and links to Morocco, Africa and the Middle East. 212 Founders’ ambition is to exercise a structuring impact on the entrepreneuria ...","Digital Finance, Incubator/Accelerator/Investment, Fund Raising and Investment","212 FOUNDERS BY CDG INVEST Digital Finance, Incubator/Accelerator/Investment, Fund Raising and Investment 212 Founders is an acceleration and investment program for startups with international potential and links to    Africa and the Middle East. 212 Founders’ ambition is to exercise a structuring impact on the entrepreneuria ...",1
3GCOM SARL,"Stand No- 12C-61, Hall 12",Morocco,One of the leading global system integrator for IT & Telecom solutions in North Africa. We provide our customers with innovative end to end solutions and services across all major industries and collaborate with industry leading t ...,,3GCOM SARL  One of the leading global system integrator for IT & Telecom solutions in North Africa. We provide our customers with innovative end to end solutions and services across all major industries and collaborate with industry leading t ...,2
3LABAL.APP,"Stand No- 9D-23, Hall 9",Morocco,"Since its creation in 2010, Khatwa Partners has supported several national programs intended for the structuring and modernization of small businesses. Over the years, KHATWA PARTNERS has developed expertise in the territorial dep ...",Incubator/Accelerator/Investment,3LABAL.APP Incubator/Accelerator/Investment Since its creation in 2010  Khatwa Partners has supported several national programs intended for the structuring and modernization of small businesses. Over the years  KHATWA PARTNERS has developed expertise in the territorial dep ...,1
3N SYSTÈMES,"Stand No- 2D-12, Hall 2",Morocco,"IT Integrator: sale and maintenance of computer and network equipment (servers, storage, PC, printers, etc.) from the largest manufacturers (DELL, HP, Lenovo, Hitachi, Huawei, Cisco,Epson etc.), implementation of various solutions ...","Cyber security, Cloud Services, Big Data & Analytics, Artificial Intelligence, 5G & Telecommunications, Data Centres, Chatbots / Virtual Assistant, Robotic Process Automation, Business Intelligence, Robotic Process Automation - RPA","3N SYSTÈMES Cyber security, Cloud Services, Big Data & Analytics, Artificial Intelligence, 5G & Telecommunications, Data Centres, Chatbots / Virtual Assistant, Robotic Process Automation, Business Intelligence, Robotic Process Automation - RPA IT Integrator: sale and maintenance of computer and network equipment (servers  storage  PC  printers  etc.) from the largest manufacturers (DELL  HP  Lenovo  Hitachi  Huawei  Cisco Epson etc.)  implementation of various solutions ...",8
42GEARS MOBILITY SYSTEMS,"Stand No- 1A-12, Hall 1",India,"42Gears is a leader in enterprise mobility management, offering cutting-edge solutions designed to transform the digital workplace. Delivered from the cloud and on-premise, 42Gears products support all major mobile and desktop ope ...",,42GEARS MOBILITY SYSTEMS  42Gears is a leader in enterprise mobility management  offering cutting-edge solutions designed to transform the digital workplace. Delivered from the cloud and on-premise  42Gears products support all major mobile and desktop ope ...,7
75WAY TECHNOLOGIES PRIVATE LIMITED,"Stand No- 2D-22, Hall 2",India,"75way- Where Imagination Turns to Innovation We cater to a wide spectrum of projects and meet the business requirement with highly intriguing Web 3.0/Blockchain, Web, IOT and Mobile apps development solutions. At 75way, we ensur ...","Software Services, HealthTech, Ecommerce, Coding and Development, Blockchain, Smart Contracts, Web3 Applications, Backend Development, Blockchain, Devops","75WAY TECHNOLOGIES PRIVATE LIMITED Software Services, HealthTech, Ecommerce, Coding and Development, Blockchain, Smart Contracts, Web3 Applications, Backend Development, Blockchain, Devops 75way- Where Imagination Turns to Innovation We cater to a wide spectrum of projects and meet the business requirement with highly intriguing Web 3.0/Blockchain  Web  IOT and Mobile apps development solutions. At 75way  we ensur ...",7
AARYA SOFTEX LLP,"Stand No- 8L-04, Hall 8",India,"AARYA SOFTEX mission is to empower businesses with cutting-edge technology solutions, leveraging the power of AI and innovation to drive efficiency, growth, and positive impact, we are committed to delivering innovative, reliable, ...","Software Services, Ecommerce, Coding and Development, Blockchain, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Machine Learning, Planning and Optimization, Real time translation","AARYA SOFTEX LLP Software Services, Ecommerce, Coding and Development, Blockchain, Artificial Intelligence, Chatbots / Virtual Assistant, Content Creation, Machine Learning, Planning and Optimization, Real time translation AARYA SOFTEX mission is to empower businesses with cutting-edge technology solutions  leveraging the power of AI and innovation to drive efficiency  growth  and positive impact  we are committed to delivering innovative  reliable  ...",9
ABA TECHNOLOGY,"Stand No- 13D-10, 14D-60, Hall 13",Morocco,"Leading the charge with groundbreaking innovations, Aba Technology transform multiple sectors across the continent. From the development of smart cities to the deployment of connected medical units, their mission is to empower pro ...","Artificial Intelligence, Internet of Things (IOT), Computer Vision, AI-optimized Hardware, Artificial Intelligence, Industrial IoT (IIoT) & Connectivity, IoT Solutions, Sensors, Smart lighting","ABA TECHNOLOGY Artificial Intelligence, Internet of Things (IOT), Computer Vision, AI-optimized Hardware, Artificial Intelligence, Industrial IoT (IIoT) & Connectivity, IoT Solutions, Sensors, Smart lighting Leading the charge with groundbreaking innovations  Aba Technology transform multiple sectors across the continent. From the development of smart cities to the deployment of connected medical units  their mission is to empower pro ...",8
ABBOTT,"Stand No- 16D-50, Hall 16",United States of America,"The key to recovery is often a fast, accurate diagnosis, perhaps today more than ever. There have been many new demands placed on laboratories, but there are also new opportunities to help solve some of healthcare’s toughest cha ...","HealthTech, Consumer Tech, Smart Home & Smart Workplace, Coding and Development, Cloud Services, Big Data & Analytics, Applications, Artificial Intelligence, Business Intelligence, Cloud Solutions, Dashboard","ABBOTT HealthTech, Consumer Tech, Smart Home & Smart Workplace, Coding and Development, Cloud Services, Big Data & Analytics, Applications, Artificial Intelligence, Business Intelligence, Cloud Solutions, Dashboard The key to recovery is often a fast  accurate diagnosis  perhaps today more than ever. There have been many new demands placed on laboratories  but there are also new opportunities to help solve some of healthcare’s toughest cha ...",7
